notification_cpu, web_api_cpu, processor_cpu, notification_memory, web_api_memory, processor_memory, notification_error_rate, web_api_response_time_p95, processor_response_time_p95, notification_api_health, notification_delivery_success, notification_message_rate, notification_queue, notification_queue_depth, notification_thread_count, processor_db_connections, processor_memory_growth, processor_processing_rate, processor_queue, processor_queue_depth, processor_redis_health, processor_thread_count, web_api_db_connections, web_api_errors, web_api_queue_depth, web_api_redis_health, web_api_requests, web_api_requests_per_second, web_api_thread_count, timestamp                 , anomaly_label, anomaly_type
           11.51,       28.31,         20.59,               52.24,          47.12,            39.47,                    0.0 ,                    150.93,                      146.39,                    0.9 ,                          0.99,                     44.39,               0.99,                     0.15,                      8.9 ,                     7.42, -0.17                  ,                     66.02,            0.08,                  0.07,                   1.0 ,                  21.83,                   5.21,           4.26,                2.19,                 0.98,            11.22,                       78.08,                17.92, realistic_normal_1034     ,             0, normal
           14.71,       11.14,         29.73,               48.67,          48.59,            39.28,                    0.01,                    115.73,                       68.01,                    0.92,                          0.98,                     26.28,               1.03,                    17.07,                     20.18,                    10.7 , 0.37                   ,                     26.79,            0.98,                  7.16,                   0.9 ,                  12.52,                  11.18,           0.39,                3.0 ,                 0.98,             9.23,                       37.4 ,                15.62, realistic_normal_1176     ,             0, normal
           14.51,       14.37,          1.84,               30.57,          40.5 ,            49.87,                    0.02,                    170.35,                      127.64,                    0.9 ,                          0.99,                     58.01,               0.61,                     2.42,                     11.93,                     3.54, -0.26                  ,                      6.45,            2.71,                  6.96,                   1.0 ,                  14.16,                  13.68,           0.45,                4.5 ,                 1.0 ,            10.41,                      103.45,                18.79, realistic_normal_67       ,             0, normal
           55.45,      100.0 ,         68.0 ,               49.93,          43.7 ,            62.37,                    0.01,                    226.83,                      195.02,                    0.97,                          1.0 ,                     24.37,               4.75,                     7.4 ,                     14.96,                    10.04, 0.19                   ,                     58.95,            0.2 ,                  4.28,                   0.96,                  21.89,                  10.99,           1.22,                1.65,                 1.0 ,             8.71,                       13.31,                18.59, realistic_cpu_spike_130   ,             1, cpu_spike
           24.93,       29.8 ,         38.47,               52.29,          46.86,            57.05,                    0.0 ,                    173.47,                      113.24,                    0.83,                          0.99,                      0.77,               6.03,                     3.99,                     20.43,                    11.57, -0.41                  ,                    140.66,            3.94,                  4.78,                   0.93,                   6.34,                  11.85,           5.85,                5.71,                 1.0 ,             5.87,                       26.88,                14.77, realistic_normal_650      ,             0, normal
            7.86,        5.14,         13.55,               71.25,          63.7 ,            85.18,                    0.02,                    183.62,                      152.79,                    0.9 ,                          0.91,                     63.51,               3.56,                    11.6 ,                     18.57,                     7.54, -0.07                  ,                     74.24,            2.25,                  1.51,                   0.95,                  18.38,                   6.29,           1.11,                2.7 ,                 1.0 ,            11.18,                      150.3 ,                12.19, realistic_memory_leak_268 ,             1, memory_leak
           14.19,       23.02,         26.28,               51.31,          50.38,            55.84,                    0.01,                    227.33,                      129.16,                    1.0 ,                          0.94,                      4.87,               7.56,                     0.16,                     20.7 ,                     9.98, 0.12                   ,                      8.68,           11.26,                  8.93,                   0.86,                  11.1 ,                  11.76,           0.36,                3.43,                 1.0 ,            10.87,                       12.87,                14.75, realistic_normal_986      ,             0, normal
           19.08,       36.89,         35.49,               38.4 ,          47.85,            34.74,                    0.01,                     75.85,                      111.77,                    1.0 ,                          1.0 ,                     43.12,               0.6 ,                     3.24,                     14.31,                     3.32, 0.08                   ,                      0.7 ,            2.89,                  8.59,                   1.0 ,                  15.36,                  14.56,           0.29,                3.13,                 1.0 ,            12.03,                       33.81,                20.52, realistic_normal_552      ,             0, normal
           25.68,       39.59,         32.92,               49.27,          50.34,            33.05,                    0.03,                    369.73,                      127.93,                    1.0 ,                          0.91,                     57.79,               2.11,                     6.9 ,                     14.39,                     8.64, -0.57                  ,                     31.86,            0.91,                  0.36,                   1.0 ,                   5.4 ,                   7.26,           0.69,                3.92,                 1.0 ,             8.22,                       25.96,                15.13, realistic_cpu_spike_227   ,             1, cpu_spike
           30.39,       27.61,         14.47,               74.3 ,          72.65,            75.96,                    0.0 ,                     83.49,                       57.86,                    1.0 ,                          1.0 ,                     13.26,               2.17,                     0.78,                     15.62,                     9.57, -0.08                  ,                      5.04,            2.99,                  1.74,                   1.0 ,                  13.82,                  10.49,           0.6 ,                4.47,                 1.0 ,             8.84,                       76.5 ,                 9.8 , realistic_memory_leak_68  ,             1, memory_leak
