injection_id,anomaly_type,injection_time,detection_time,explanation_time,recovery_trigger_time,recovery_completion_time,normalization_time,pre_recovery_cpu,pre_recovery_memory,pre_recovery_error_rate,pre_recovery_anomaly_prob,post_recovery_cpu,post_recovery_memory,post_recovery_error_rate,post_recovery_anomaly_prob,detection_success,recovery_success,recurrence_detected,detection_latency,mttr,end_to_end_latency,recovery_execution_latency,pod_restart_duration,anomaly_prob_reduction
1,cpu_spike,1771822278.725762,1771822287.471163,1771822289.3972344,1771822289.4972343,1771822313.9343917,1771822321.2746713,87.02792876437063,41.742508365045985,0.1312646604084909,0.8901672517614814,29.16145155592091,20.514612357395063,0.019428287191077892,0.17486639612006327,True,True,False,8.745401188473625,33.803508281707764,42.548909425735474,2.46398788362281,21.973169683940732,0.7153008556414181
2,memory_leak,1771822279.2359197,1771822286.3593109,1771822287.1320484,1771822287.2320483,1771822304.6837022,1771822317.5550487,52.95835055926347,84.36843710297063,0.13013352105002832,0.7737139563108472,20.842892970704362,29.159046082342293,0.009665329700123682,0.16777639420895207,True,True,False,7.123391106782762,31.195737838745117,38.31912899017334,1.3668090197068676,16.084844859190753,0.6059375621018951
3,service_crash,1771822279.7406623,1771822286.7374,1771822288.0087516,1771822288.1087515,1771822301.222589,1771822315.3357618,15.115723710618745,31.951547789558386,0.8795542149013333,0.9755321642996927,31.16794696232922,27.61534422933427,0.0028557701661212935,0.15263495397682356,True,True,False,6.996737821583597,28.59836173057556,35.595099449157715,2.184829137724085,10.929008254399955,0.8228972103228691
4,cpu_spike,1771822280.2428048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
5,memory_leak,1771822280.7490387,1771822286.9694211,1771822288.2121866,1771822288.3121865,1771822317.5673716,1771822326.4490714,59.875668530619464,84.67566614134117,0.11361224381200596,0.8429407474883576,18.69708911051054,44.239615694113965,0.015727523643861176,0.19092484123462838,True,True,True,6.220382348447789,39.479650259017944,45.70003271102905,1.0687770422304368,28.186408041575643,0.6520159062537292
6,service_crash,1771822281.2532089,1771822295.2014823,1771822296.5983322,1771822296.698332,1771822311.3119307,1771822319.2516737,11.356818667316142,39.75990992289793,0.6554709158757928,0.8852753741306064,31.57475018303859,28.918833167339734,0.006337755684060234,0.1314044124737373,True,True,False,13.948273504276488,24.050191402435303,37.998464822769165,2.8437484700462337,11.76985004103839,0.7538709616568691
7,cpu_spike,1771822281.7582192,1771822288.1674614,1771822289.8707569,1771822289.9707568,1771822320.8575969,1771822337.4412684,87.58330385994424,40.16566351370807,0.12416459998367677,0.9060286015771426,29.580143360819747,39.281758667148644,0.0024068483829477166,0.1037698592816409,True,True,False,6.409242249747626,49.27380704879761,55.68304920196533,1.1491012873595416,29.737738732010346,0.8022587422955016
8,memory_leak,1771822282.2613134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
9,service_crash,1771822282.7652185,1771822296.3962529,1771822297.8312001,1771822297.9312,1771822310.8641632,1771822320.528898,19.75549966080241,51.888185350141924,0.7550229885420853,0.9653376565349224,24.444298503238986,22.98985614845754,0.014551650957236904,0.16411775729253464,True,True,False,13.631034258755935,24.13264513015747,37.76367950439453,1.6617960497052984,11.271167005720473,0.8012198992423878
10,cpu_spike,1771822283.278837,1771822293.891609,1771822295.5480597,1771822295.6480596,1771822318.0903075,1771822329.5034227,85.33044864767324,43.23674280979913,0.014400085996142795,0.895461561689567,21.287119621526536,32.71426727911757,0.018243763004595768,0.08739383437233125,True,True,False,10.612771975694962,35.61181378364563,46.22458577156067,1.9875911927287815,20.45465658763988,0.8080677273172358
11,memory_leak,1771822283.7911773,1771822292.8950064,1771822294.5283332,1771822294.628333,1771822307.6255276,1771822316.9717994,44.83663861762013,93.9454647851386,0.16546166832159506,0.8576786386067721,32.429211803754356,40.09180192247786,0.004544831118834681,0.1838838497734967,True,True,False,9.103829230356297,24.07679295539856,33.18062210083008,1.457596330983245,11.53959819657586,0.6737947888332754
12,service_crash,1771822284.3122914,1771822294.7057137,1771822296.416874,1771822296.5168738,1771822315.669126,1771822322.3199048,16.83805487625825,42.81323365878769,0.8272059063689973,0.9618949758233246,15.139042610623815,32.768682564439146,0.008930809059826801,0.08331617157060955,True,True,False,10.393422419156508,27.61419105529785,38.00761342048645,2.7921825998469867,16.360069499437277,0.8785788042527151
13,cpu_spike,1771822284.8292892,1771822291.027943,1771822292.0343657,1771822292.1343656,1771822311.4842436,1771822324.266103,94.13924646563731,50.90888807137882,0.1460494915809345,0.9443670942413167,20.035645916507285,32.431212647309636,0.006716687886518623,0.09272607415662015,True,True,False,6.198653673336828,33.238160133361816,39.436813831329346,2.8858194078250383,16.464058640415104,0.8516410200846966
